"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137","test_invalid_login","tests","Tue Mar 11 17:30:46 MSK 2025","passed","Tue Mar 11 17:30:46 MSK 2025","","test_user_authorization","",""
"","130","test_user_creation_without_email","tests","Tue Mar 11 17:30:47 MSK 2025","passed","Tue Mar 11 17:30:47 MSK 2025","","test_user_creation","",""
"","864","test_changing_login_user","tests","Tue Mar 11 17:30:36 MSK 2025","passed","Tue Mar 11 17:30:37 MSK 2025","","test_changing_user_data","",""
"","332","test_create_order_with_invalid_ingredients","tests","Tue Mar 11 17:30:43 MSK 2025","passed","Tue Mar 11 17:30:44 MSK 2025","","test_create_order","",""
"","123","test_get_orders_without_authorization","tests","Tue Mar 11 17:30:45 MSK 2025","passed","Tue Mar 11 17:30:45 MSK 2025","","test_give_order","",""
"","869","test_user_creation_already_exists","tests","Tue Mar 11 17:30:47 MSK 2025","passed","Tue Mar 11 17:30:48 MSK 2025","","test_user_creation","",""
"","774","test_successful_user_creation","tests","Tue Mar 11 17:30:46 MSK 2025","passed","Tue Mar 11 17:30:47 MSK 2025","","test_user_creation","",""
"","589","test_get_orders_with_authorization","tests","Tue Mar 11 17:30:44 MSK 2025","passed","Tue Mar 11 17:30:45 MSK 2025","","test_give_order","",""
"","1725","test_changing_use_mail","tests","Tue Mar 11 17:30:37 MSK 2025","passed","Tue Mar 11 17:30:39 MSK 2025","","test_changing_user_data","",""
"","325","test_create_order_without_ingredients","tests","Tue Mar 11 17:30:43 MSK 2025","passed","Tue Mar 11 17:30:43 MSK 2025","","test_create_order","",""
"","143","test_create_order_without_authorization","tests","Tue Mar 11 17:30:42 MSK 2025","failed","Tue Mar 11 17:30:43 MSK 2025","","test_create_order","",""
"","723","test_valid_login","tests","Tue Mar 11 17:30:45 MSK 2025","passed","Tue Mar 11 17:30:46 MSK 2025","","test_user_authorization","",""
"","135","test_changing_logout_user","tests","Tue Mar 11 17:30:39 MSK 2025","passed","Tue Mar 11 17:30:39 MSK 2025","","test_changing_user_data","",""
"","2788","test_create_order_with_authorization","tests","Tue Mar 11 17:30:40 MSK 2025","passed","Tue Mar 11 17:30:42 MSK 2025","","test_create_order","",""
